T,C,A,R,D
free,free,liberal,three,none
sleet,sleet,icy,fleet,none
small,small,tiny,shawl,none
produce,produce,farming,reduce,none
grape,grape,wine,drape,none
cobweb,cobweb,spider,web,none
library,library,books,arbitrary,none
chair,chair,seat,stair,none
walk,walk,stroll,talk,none
cart,cart,wheelbarrow,dart,none
stitch,stitch,sew,switch,none
side,side,flank,ride,none
locket,locket,pendant,rocket,none
move,move,action,groove,none
egg,egg,ovum,peg,none
sneeze,sneeze,cold,tease,none
faucet,faucet,tap,trinket,none
volcano,volcano,eruption,chicano,none
toy,toy,plaything,joy,none
mass,mass,weight,grass,none
recess,recess,retreat,express,none
bead,bead,string,head,none
ant,ant,fly,coolant,none
cover,cover,conceal,clover,none
none,none,none,none,frost
none,none,none,none,giraffe
none,none,none,none,hedge
none,none,none,none,jazz
none,none,none,none,lighthouse
none,none,none,none,mango
none,none,none,none,ocean
none,none,none,none,penguin
