'tbrword','result','fp','cue','response','cue_type','duration'
'pet',0,0,'set',' The word in the S4ODV78T5G list that is reminiscent of the given cue "set" is "table".','ncrw',9.00
'walk',1,0,'walk',' The word in the S4ODV78T5G list that is reminiscent of the given cue "walk" is "path".','copy',44.60
'arm',1,0,'arm',' The word in the S4ODV78T5G list that is reminiscent of the given cue "arm" is "hand".','copy',81.10
'monkey',1,1,'ape',' The word in the S4ODV78T5G list that is reminiscent of the given cue "ape" is "monkey".','ncaw',60.30
'cart',0,0,'dart',' The word in the S4ODV78T5G list that is reminiscent of the given cue "dart" is "arrow".','ncrw',59.80
'sneeze',1,0,'sneeze',' The word in the S4ODV78T5G list that is reminiscent of the given cue "sneeze" is "cough".','copy',56.80
'None',0,0,'ocean',' The word in the S4ODV78T5G list that is reminiscent of the given cue "ocean" is "water".','none',54.20
'volcano',1,0,'volcano',' The word in the S4ODV78T5G list that is reminiscent of the given cue "volcano" is "fire".','copy',52.50
'guitar',1,1,'banjo',' The word in the S4ODV78T5G list that is reminiscent of the given cue "banjo" is "guitar".','ncaw',8.90
'hat',1,0,'hat',' The word in the S4ODV78T5G list that is reminiscent of the given cue "hat" is "cap".','copy',44.30
'sleet',0,0,'icy',' The word in the S4ODV78T5G list that is reminiscent of the given cue "icy" is "cold".','ncaw',51.00
'None',0,0,'bloom',' The word in the S4ODV78T5G list that is reminiscent of the given cue "bloom" is "flower".','none',55.00
'None',0,0,'caterpillar',' The word in the S4ODV78T5G list that is reminiscent of the given cue "caterpillar" is "bug".','none',57.00
'map',0,0,'lap',' The word in the S4ODV78T5G list that is reminiscent of the given cue "lap" is "seat".','ncrw',51.90
'library',0,0,'arbitrary',' The word in the S4ODV78T5G list that is reminiscent of the given cue "arbitrary" is "random".','ncrw',59.30
'grape',1,0,'grape',' The word in the S4ODV78T5G list that is reminiscent of the given cue "grape" is "wine".','copy',57.90
'hen',0,0,'chicken',' The word in the S4ODV78T5G list that is reminiscent of the given cue "chicken" is "poultry".','ncaw',8.40
'net',1,0,'net',' The word in the S4ODV78T5G list that is reminiscent of the given cue "net" is "webbing".','copy',51.70
'control',0,0,'power',' The word in the S4ODV78T5G list that is reminiscent of the given cue "power" is "electricity".','ncaw',69.50
'side',1,1,'flank',' The word in the S4ODV78T5G list that is reminiscent of the given cue "flank" is "side".','ncaw',57.20
'small',0,0,'shawl',' The word in the S4ODV78T5G list that is reminiscent of the given cue "shawl" is "scarf".','ncrw',61.60
'None',0,0,'frost',' The word in the S4ODV78T5G list that is reminiscent of the given cue "frost" is "ice".','none',62.20
'cover',0,0,'clover',' The word in the S4ODV78T5G list that is reminiscent of the given cue "clover" is "grass".','ncrw',63.60
'None',0,0,'lighthouse',' The word in the S4ODV78T5G list that is reminiscent of the given cue "lighthouse" is "beacon".','none',49.40
'None',0,0,'ditch',' The word in the S4ODV78T5G list that is reminiscent of the given cue "ditch" is "trench".','none',17.50
'None',0,0,'braid',' The word in the S4ODV78T5G list that is reminiscent of the given cue "braid" is "plait".','none',60.60
'cobweb',0,0,'web',' The word in the S4ODV78T5G list that is reminiscent of the given cue "web" is "net".','ncrw',59.30
'None',0,0,'dove',' The word in the S4ODV78T5G list that is reminiscent of the given cue "dove" is "pigeon".','none',65.10
'curtain',0,0,'stain',' The word in the S4ODV78T5G list that is reminiscent of the given cue "stain" is "mark".','ncrw',58.80
'kitten',0,0,'adorable',' The word in the S4ODV78T5G list that is reminiscent of the given cue "adorable" is "cute".','ncaw',59.40
'faucet',1,0,'faucet',' The word in the S4ODV78T5G list that is reminiscent of the given cue "faucet" is "tap".','copy',56.50
'value',1,1,'worth',' The word in the S4ODV78T5G list that is reminiscent of the given cue "worth" is "value".','ncaw',46.80
