'tbrword','result','cue','response','cue_type','duration'
'day',0,'night',' The word in the S4ODV78T5G list that is reminiscent of the given cue "night" is "stars".','ncaw',9.80
'toy',0,'joy',' The word in the S4ODV78T5G list that is reminiscent of the given cue "joy" is "happiness".','ncrw',54.80
'hat',0,'lid',' The word in the S4ODV78T5G list that is reminiscent of the given cue "lid" is "cap".','ncaw',55.70
'None',0,'lighthouse',' The word in the S4ODV78T5G list that is reminiscent of the given cue "lighthouse" is "beacon".','none',52.90
'None',0,'penguin',' The word in the S4ODV78T5G list that is reminiscent of the given cue "penguin" is "seabird".','none',59.20
'egg',0,'egg',' The word in the S4ODV78T5G list that is reminiscent of the given cue "egg" is "shell".','copy',62.30
'None',0,'giraffe',' The word in the S4ODV78T5G list that is reminiscent of the given cue "giraffe" is "neck".','none',58.70
'chair',0,'stair',' The word in the S4ODV78T5G list that is reminiscent of the given cue "stair" is "steps".','ncrw',45.00
'net',0,'debt',' The word in the S4ODV78T5G list that is reminiscent of the given cue "debt" is "owe".','ncrw',01.20
'stop',0,'stop',' The word in the S4ODV78T5G list that is reminiscent of the given cue "stop" is "halt".','copy',49.50
'None',0,'abrupt',' The word in the S4ODV78T5G list that is reminiscent of the given cue "abrupt" is "sudden".','none',60.60
'None',0,'ditch',' The word in the S4ODV78T5G list that is reminiscent of the given cue "ditch" is "pothole".','none',60.60
'control',0,'enroll',' The word in the S4ODV78T5G list that is reminiscent of the given cue "enroll" is "sign up".','ncrw',61.20
'None',0,'hedge',' The word in the S4ODV78T5G list that is reminiscent of the given cue "hedge" is "fence".','none',56.40
'cobweb',0,'web',' The word in the S4ODV78T5G list that is reminiscent of the given cue "web" is "site".','ncrw',53.90
'hen',0,'hen',' The word in the S4ODV78T5G list that is reminiscent of the given cue "hen" is "chicken".','copy',51.90
'star',0,'planet',' The word in the S4ODV78T5G list that is reminiscent of the given cue "planet" is "earth".','ncaw',01.40
'copper',0,'proper',' The word in the S4ODV78T5G list that is reminiscent of the given cue "proper" is "etiquette".','ncrw',57.30
'cover',0,'overlay',' The word in the S4ODV78T5G list that is reminiscent of the given cue "overlay" is "transparency".','ncaw',51.20
'None',0,'cactus',' The word in the S4ODV78T5G list that is reminiscent of the given cue "cactus" is "succulent".','none',61.90
'grape',0,'grape',' The word in the S4ODV78T5G list that is reminiscent of the given cue "grape" is "wine".','copy',55.70
'ball',0,'ball',' The word in the S4ODV78T5G list that is reminiscent of the given cue "ball" is "sports".','copy',50.60
'bead',0,'head',' The word in the S4ODV78T5G list that is reminiscent of the given cue "head" is "hair".','ncrw',61.40
'recess',0,'recess',' The word in the S4ODV78T5G list that is reminiscent of the given cue "recess" is "retreat".','copy',51.00
'monkey',0,'mischief',' The word in the S4ODV78T5G list that is reminiscent of the given cue "mischief" is "trickery".','ncaw',9.70
'cart',0,'drag',' The word in the S4ODV78T5G list that is reminiscent of the given cue "drag" is "glide".','ncaw',51.50
'vegetable',0,'tolerable',' The word in the S4ODV78T5G list that is reminiscent of the given cue "tolerable" is "bearable".','ncrw',62.90
'guitar',0,'guitar',' The word in the S4ODV78T5G list that is reminiscent of the given cue "guitar" is "string".','copy',58.90
'library',0,'book',' The word in the S4ODV78T5G list that is reminiscent of the given cue "book" is "read".','ncaw',63.50
'free',0,'free',' The word in the S4ODV78T5G list that is reminiscent of the given cue "free" is "unrestricted".','copy',59.80
'None',0,'braid',' The word in the S4ODV78T5G list that is reminiscent of the given cue "braid" is "twine".','none',57.80
'side',0,'face',' The word in the S4ODV78T5G list that is reminiscent of the given cue "face" is "mask".','ncaw',54.30
