'TBRWORD','RESULT','INLIST','CUE','RESPONSE','CUE_TYPE','DURATION'
'jewel gem',1,0,'diamond',' The word that is associated or rhymes with "diamond" from the memorized list is "jewel".','altacue',59.60
'jewel gem',0,0,'cruel',' The word "lewd" in the memorized list is associated with being crude or vulgar so it could potentially be used as an answer if someone asks for a word that is associated or rhymes with cruel.','altrcue',65667.10
'helpless powerless',0,0,'mess',' The word "visit" is associated or rhymes with "transmit".','altrcue',218.10
'helpless powerless',1,0,'clueless',' The word "helpless" is associated with powerlessness which could potentially make someone feel clueless about how to handle a situation.','altacue',56.50
'scientific prolific',0,0,'academic',' The word "academic" is not associated or rhymes with any of the words listed in the context provided.','altacue',816830.60
'scientific prolific',0,0,'click',' The word "click" is not associated or rhymes with any of the words on the list you provided.','altrcue',55.10
'visit transmit',0,0,'grit',' The word that is associated or rhymes with "grit" from the memorized list is "bit".','altrcue',88.40
'visit transmit',0,0,'call',' The word "tacit" is associated with knowledge but it does not rhyme with "call".','altacue',59.10
'greet hello',1,0,'salutation',' The word "greet" is associated or rhymes with salutation.','altacue',63.60
'greet hello',0,0,'sleet',' The word "whip" is associated with "tip".','altrcue',49.90
'guard protect',1,0,'shard',' The word that is associated or rhymes with "shard" from the memorized list is "guard".','altrcue',52.60
'guard protect',1,0,'soldier',' The word "guard" in the memorized list is associated or rhymes with soldier.','altacue',53.70
'superb herb',0,0,'brillant',' The word "visit" is associated or rhymes with brilliant.','altacue',70.80
'superb herb',0,0,'curb',' The word "guard" in the memorized list is associated with "curb."','altrcue',106.70
'apparel tunnel',0,0,'aquarel',' The word that is associated or rhymes with "aquarel" from the memorized list is not provided.','altrcue',58.50
'apparel tunnel',1,0,'blouse',' The word that is associated or rhymes with "blouse" from the memorized list is "apparel".','altacue',55.00
'nostalgic sentimental',1,0,'homesick',' The word "nostalgic" is associated with sentimental while "homesick" is not listed in the provided contexts.','altacue',62.80
'nostalgic sentimental',0,0,'trick',' The word "trick" is not associated or rhymes with any of the words listed in the context provided.','altrcue',723143.90
'hour minute',0,0,'flour',' The word that is associated or rhymes with "flour" from the given list is not provided.','altrcue',93.10
'hour minute',1,0,'twenty-four',' The word "hour" in the memorized list is associated or rhymes with twenty-four.','altacue',81.60
'sheep deep',1,0,'wool',' The word in the memorized list that is associated or rhymes with wool is "sheep".','altacue',59.20
'sheep deep',0,0,'jeep',' The word that is associated or rhymes with "jeep" from the memorized list is "visit".','altrcue',56.20
'whip tip',1,0,'ship',' The word "whip" is associated with "tip".','altrcue',56.80
'whip tip',0,0,'cream',' The word that is associated or rhymes with cream from the memorized list is "sheep".','altacue',60.80
'annoying irritating',0,0,'unnerving',' The word "unnerving" is not associated or rhymes with any of the words listed in the memorized list.','altacue',58.10
'annoying irritating',0,0,'toying',' The word "toy" is not included in the provided list so it cannot be associated or rhyme with any of the listed words.','altrcue',57.60
'price cost',0,0,'nice',' The word "nice" is not associated or rhymes with any of the words on the list.','altrcue',61.40
'price cost',1,0,'value',' The word "price" is associated with cost not value.','altacue',83.10
'lewd crude',0,0,'vulgar',' The word "vulgar" is not included in the provided list.','altacue',59.40
'lewd crude',0,0,'shrewd',' The word that is associated or rhymes with "shrewd" from the memorized list is "guard".','altrcue',90.70
'tacit facet',0,0,'explicit',' The word "explicit" is not present in the given list.','altrcue',82.50
'tacit facet',0,0,'implicit',' The word "implicit" is not associated or rhymes with any of the words listed.','altacue',54.90
