'tbrword','result','fp','cue','response','cue_type','duration'
'hat',1,0,'fat',' No"fat" is not in the list S4ODV78T5G.','ncrw',51.20
'None',1,0,'ocean',' No"ocean" is not in the list S4ODV78T5G.','none',65.30
'None',1,0,'cactus',' No"cactus" is not in the list S4ODV78T5G.','none',90.00
'day',1,1,'day',' Yes "day" is in the list S4ODV78T5G.','copy',74.10
'kitten',1,1,'kitten',' Yes "kitten" is in the list S4ODV78T5G.','copy',80.70
'guitar',1,1,'guitar',' Yes "guitar" is in the list S4ODV78T5G.','copy',70.40
'net',1,1,'net',' Yes "net" is in the list S4ODV78T5G.','copy',71.50
'None',1,0,'mango',' No"mango" is not in the list S4ODV78T5G.','none',68.90
'None',1,0,'dove',' No"dove" is not in the list S4ODV78T5G.','none',59.50
'curtain',1,1,'curtain',' Yes "curtain" is in the list S4ODV78T5G.','copy',64.70
'pet',1,0,'set',' No"set" is not in the list S4ODV78T5G.','ncrw',71.20
'None',1,0,'frost',' No"frost" is not in the list S4ODV78T5G.','none',71.40
'None',1,0,'hedge',' No"hedge" is not in the list S4ODV78T5G.','none',71.60
'ball',1,0,'volley',' No"volley" is not in the list S4ODV78T5G.','ncaw',75.00
'None',1,0,'jazz',' No"jazz" is not in the list S4ODV78T5G.','none',67.70
'hen',1,0,'yen',' No"yen" is not in the list S4ODV78T5G.','ncrw',69.10
'walk',1,0,'run',' No"run" is not in the list S4ODV78T5G.','ncaw',59.50
'arm',1,0,'swarm',' No"swarm" is not in the list S4ODV78T5G.','ncrw',67.30
'copper',1,0,'gold',' No"gold" is not in the list S4ODV78T5G.','ncaw',72.10
'cart',1,0,'drag',' No"drag" is not in the list S4ODV78T5G.','ncaw',68.90
'None',1,0,'giraffe',' No"giraffe" is not in the list S4ODV78T5G.','none',64.90
'cushion',1,0,'soften',' No"soften" is not in the list S4ODV78T5G.','ncaw',65.50
'cobweb',1,1,'cobweb',' Yes "cobweb" is in the list S4ODV78T5G.','copy',71.30
'stop',1,0,'mop',' No"mop" is not in the list S4ODV78T5G.','ncrw',72.70
'move',1,0,'groove',' No"groove" is not in the list S4ODV78T5G.','ncrw',53.10
'recess',1,1,'recess',' Yes "recess" is in the list S4ODV78T5G.','copy',63.50
'mass',1,0,'pile',' No"pile" is not in the list S4ODV78T5G.','ncaw',72.60
'list',1,0,'mist',' No"mist" is not in the list S4ODV78T5G.','ncrw',71.10
'sneeze',1,0,'cold',' No"cold" is not in the list S4ODV78T5G.','ncaw',70.00
'cover',1,0,'clover',' No"clover" is not in the list S4ODV78T5G.','ncrw',70.60
'card',1,0,'score',' No"score" is not in the list S4ODV78T5G.','ncaw',62.40
'locket',1,1,'locket',' Yes "locket" is in the list S4ODV78T5G.','copy',67.50
