'tbrword','result','fp','cue','response','cue_type','duration'
'None',0,0,'caterpillar',' The word in the S4ODV78T5G list that is reminiscent of the given cue "caterpillar" is "worm".','none',8.80
'library',1,1,'books',' The word in the S4ODV78T5G list that is reminiscent of the given cue "books" is "library".','ncaw',56.20
'move',0,0,'action',' The word in the S4ODV78T5G list that is reminiscent of the given cue "action" is "movie".','ncaw',59.90
'monkey',0,0,'honky',' The word in the S4ODV78T5G list that is reminiscent of the given cue "honky" is "truck".','ncrw',55.00
'star',1,0,'star',' The word in the S4ODV78T5G list that is reminiscent of the given cue "star" is "galaxy".','copy',68.30
'None',0,0,'hedge',' The word in the S4ODV78T5G list that is reminiscent of the given cue "hedge" is "fence".','none',60.20
'day',1,0,'day',' The word in the S4ODV78T5G list that is reminiscent of the given cue "day" is "sunrise".','copy',58.60
'copper',0,0,'bronze',' The word in the S4ODV78T5G list that is reminiscent of the given cue "bronze" is "metal".','ncaw',53.50
'free',1,0,'free',' The word in the S4ODV78T5G list that is reminiscent of the given cue "free" is "freedom".','copy',8.80
'mass',1,0,'weight',' The word in the S4ODV78T5G list that is reminiscent of the given cue "weight" is "mass".','ncaw',52.70
'recess',0,0,'express',' The word in the S4ODV78T5G list that is reminiscent of the given cue "express" is "expedition".','ncrw',50.80
'cake',1,0,'cake',' The word in the S4ODV78T5G list that is reminiscent of the given cue "cake" is "dessert".','copy',62.00
'walk',1,1,'stroll',' The word in the S4ODV78T5G list that is reminiscent of the given cue "stroll" is "walk".','ncaw',57.80
'ball',1,1,'sphere',' The word in the S4ODV78T5G list that is reminiscent of the given cue "sphere" is "ball".','ncaw',53.70
'None',0,0,'lighthouse',' The word in the S4ODV78T5G list that is reminiscent of the given cue "lighthouse" is "beacon".','none',60.40
'None',0,0,'penguin',' The word in the S4ODV78T5G list that is reminiscent of the given cue "penguin" is "bird".','none',46.20
'control',1,0,'control',' The word in the S4ODV78T5G list that is reminiscent of the given cue "control" is "governance".','copy',9.10
'guitar',0,0,'avatar',' The word in the S4ODV78T5G list that is reminiscent of the given cue "avatar" is "digital".','ncrw',51.00
'stitch',0,0,'switch',' The word in the S4ODV78T5G list that is reminiscent of the given cue "switch" is "toggle".','ncrw',52.00
'None',0,0,'abrupt',' The word in the S4ODV78T5G list that is reminiscent of the given cue "abrupt" is "sharp".','none',54.70
'None',0,0,'ocean',' The word in the S4ODV78T5G list that is reminiscent of the given cue "ocean" is "water".','none',53.10
'volcano',1,1,'eruption',' The word in the S4ODV78T5G list that is reminiscent of the given cue "eruption" is "volcano".','ncaw',58.10
'sneeze',0,0,'tease',' The word in the S4ODV78T5G list that is reminiscent of the given cue "tease" is "playful".','ncrw',54.40
'cart',0,0,'dart',' The word in the S4ODV78T5G list that is reminiscent of the given cue "dart" is "projectile".','ncrw',50.40
'pain',1,0,'pain',' The word in the S4ODV78T5G list that is reminiscent of the given cue "pain" is "hurt".','copy',10.20
'basin',1,0,'basin',' The word in the S4ODV78T5G list that is reminiscent of the given cue "basin" is "bathtub".','copy',53.60
'pet',1,0,'pet',' The word in the S4ODV78T5G list that is reminiscent of the given cue "pet" is "dog".','copy',60.30
'cushion',0,0,'fashion',' The word in the S4ODV78T5G list that is reminiscent of the given cue "fashion" is "style".','ncrw',52.20
'None',0,0,'giraffe',' The word in the S4ODV78T5G list that is reminiscent of the given cue "giraffe" is "neck".','none',55.80
'net',0,0,'debt',' The word in the S4ODV78T5G list that is reminiscent of the given cue "debt" is "money".','ncrw',59.60
'egg',1,1,'ovum',' The word in the S4ODV78T5G list that is reminiscent of the given cue "ovum" is "egg".','ncaw',57.30
'None',0,0,'braid',' The word in the S4ODV78T5G list that is reminiscent of the given cue "braid" is "hair".','none',59.30
