'tbrword','result','fp','cue','response','cue_type','duration'
'basin',1,1,'basin',' The word "basin" from the S4ODV78T5G list is related to the given cue of a basin.','copy',55.70
'cover',0,1,'clover',' The word "green" from the S4ODV78T5G list is related to the cue of "clover."','ncrw',54.20
'toy',1,1,'toy',' The word "toy" from the S4ODV78T5G list is not related to the given cue of "answer".','copy',65.90
'control',0,1,'power',' None of the words in the S4ODV78T5G list are directly related to "power".','ncaw',63.60
'None',1,0,'frost',' None','none',67.30
'vegetable',1,1,'vegetable',' The word "vegetable" from the S4ODV78T5G list is related to the given cue of a "vegetable".','copy',55.60
'egg',0,0,'peg',' None','ncrw',61.00
'curtain',0,0,'drape',' None','ncaw',58.30
'None',1,0,'hedge',' None','none',59.30
'None',1,0,'abrupt',' None','none',53.70
'value',0,1,'rescue',' None of the words in the S4ODV78T5G list are directly related to "rescue".','ncrw',53.00
'map',0,0,'lap',' None','ncrw',57.60
'free',1,1,'free',' The word "free" from the S4ODV78T5G list does not have a direct relation to the given cue of "answer".','copy',58.00
'arm',0,1,'leg',' None of the words in the S4ODV78T5G list are directly related to "leg".','ncaw',59.00
'volcano',1,1,'eruption',' volcano','ncaw',54.10
'None',1,0,'giraffe',' None','none',55.80
'recess',0,0,'retreat',' None','ncaw',44.10
'None',1,0,'mango',' None','none',65.50
'star',1,1,'shine',' The word "star" from the S4ODV78T5G list is related to the cue of "shine".','ncaw',55.40
'bead',1,1,'bead',' The word "bead" from the S4ODV78T5G list is related to the given cue of "bead".','copy',65.80
'kitten',0,0,'kitten',' None','copy',66.10
'None',1,0,'caterpillar',' None','none',54.50
'pet',1,1,'set','','ncrw',62.90
'hen',0,1,'hen',' egg','copy',66.10
'list',0,0,'catalog',' None','ncaw',52.50
'pain',0,0,'vein',' None','ncrw',65.90
'copper',0,1,'proper',' None of the words in the S4ODV78T5G list are directly related to "proper."','ncrw',57.60
'produce',0,1,'reduce',' The word "reduce" from the S4ODV78T5G list is not found as it does not recall the given cue of "answer".','ncrw',73.60
'None',1,0,'braid',' None','none',69.60
'sleet',1,1,'sleet',' The word "produce" from the S4ODV78T5G list is related to the cue of "sleet".','copy',56.40
'None',1,0,'lighthouse',' None','none',58.00
'stitch',0,1,'sew',' None of the words in the S4ODV78T5G list are related to "sew".','ncaw',58.90
