'TBRWORD','RESULT','INLIST','CUE','RESPONSE','CUE_TYPE','DURATION'
'price cost',1,0,'value',' The word "price" is associated with cost not value.','altacue',51.80
'price cost',0,0,'nice',' The word "nice" is not associated or rhymes with any of the words listed.','altrcue',76.00
'sheep pasture',0,0,'jeep',' The word "jewel" is not associated or rhymes with "jeep".','altrcue',59.90
'sheep pasture',1,0,'wool',' The word in the memorized list that is associated or rhymes with wool is "sheep".','altacue',66.30
'greet meat',0,0,'salutation',' The word "visit" is associated or rhymes with salutation.','altacue',53.90
'greet meat',0,0,'sleet',' The word "sleet" does not appear on the provided list so it cannot be associated or rhyme with any of the listed words.','altrcue',64.10
'tacit facet',0,0,'explicit',' The word "explicit" is not included in the given list so it cannot be associated or rhyme with any of the listed words.','altrcue',61.80
'tacit facet',0,0,'implicit',' The word "implicit" is not associated or rhymes with any of the words listed.','altacue',67.60
'scientific research',0,0,'academic',' The word "academic" is not associated or rhymes with any of the words listed in the context provided.','altacue',56.20
'scientific research',0,0,'click',' The word "click" is not associated or rhymes with any of the words on the list.','altrcue',54.70
'whip flog',1,0,'ship',' The word "whip" is associated with "tip".','altrcue',46.80
'whip flog',0,0,'cream',' The word that is associated or rhymes with cream from the memorized list is "lewd".','altacue',51.80
'visit transmit',0,0,'call',' The word that is associated or rhymes with "call" from the given list is "tacit".','altacue',50.70
'visit transmit',1,0,'grit',' The word "visit" is associated or rhymes with "grit".','altrcue',152.20
'jewel newel',0,0,'cruel',' The word "lewd" from the memorized list is associated with "cruel".','altrcue',47.00
'jewel newel',1,0,'diamond',' The word that is associated or rhymes with "diamond" from the memorized list is "jewel".','altacue',51.00
'lewd obscene',1,0,'vulgar',' The word "lewd" in the memorized list is associated with vulgarity.','altacue',69.10
'lewd obscene',0,0,'shrewd',' The word "shrewd" is not associated or rhymes with any of the words listed in the context provided.','altrcue',55.20
'guard protect',0,0,'shard',' The word "tacit" is associated with knowledge not with a specific object like a shard.','altrcue',56.90
'guard protect',1,0,'soldier',' The word "guard" in the memorized list is associated or rhymes with soldier.','altacue',55.60
'annoying boying',0,0,'unnerving',' The word "unnerving" is not included in the memorized list provided.','altacue',72.40
'annoying boying',0,0,'toying',' The word "toy" is not present in the given list.','altrcue',50.00
'hour sour',0,0,'flour',' The word that is associated or rhymes with "flour" from the given list is not provided.','altrcue',56.40
'hour sour',1,0,'twenty-four',' The word "hour" from the memorized list is associated or rhymes with twenty-four.','altacue',55.70
'apparel clothing',1,0,'blouse',' The word "apparel" is associated with "blouse".','altacue',50.40
'apparel clothing',1,0,'aquarel',' The word "apparel" is associated or rhymes with "aquamarine".','altrcue',55.80
'nostalgic sentimental',0,0,'trick',' The word "trick" is not included in the memorized list provided.','altrcue',65.70
'nostalgic sentimental',1,0,'homesick',' The word "nostalgic" is associated with sentimental while "homesick" is not a word from the given list.','altacue',66.70
'helpless hopeless',0,0,'clueless',' The word "visit" is associated or rhymes with "clueless".','altacue',61.20
'helpless hopeless',0,0,'mess',' The word "visit" is associated or rhymes with "transmit".','altrcue',57.60
'superb herb',0,0,'curb',' The word "curb" does not appear on the provided list so it cannot be associated or rhyme with any of the listed words.','altrcue',51.60
'superb herb',0,0,'brillant',' The word that is associated or rhymes with brilliant from the given list is "jewel".','altacue',57.20
