'tbrword','result','fp','cue','response','cue_type','duration'
'net',0,0,'net',' Nothe word "net" is not in the list S4ODV78T5G.','copy',47.40
'None',1,0,'daisy',' Nothe word "daisy" is not in the list S4ODV78T5G.','none',55.00
'day',0,0,'day',' Nothe word "day" is not in the list S4ODV78T5G.','copy',70.10
'faucet',1,0,'spigot',' Nothe word "spigot" is not in the list S4ODV78T5G.','ncaw',79.80
'toy',1,0,'joy',' Nothe word "joy" is not in the list S4ODV78T5G.','ncrw',64.00
'None',1,0,'ditch',' Nothe word "ditch" is not in the list S4ODV78T5G.','none',72.70
'card',1,0,'score',' Nothe word "score" is not in the list S4ODV78T5G.','ncaw',78.70
'library',0,0,'library',' Nothe word "library" is not in the list S4ODV78T5G.','copy',77.20
'None',1,0,'braid',' Nothe word "braid" is not in the list S4ODV78T5G.','none',46.50
'None',1,0,'abrupt',' Nothe word "abrupt" is not in the list S4ODV78T5G.','none',46.50
'None',1,0,'giraffe',' Nothe word "giraffe" is not in the given list S4ODV78T5G.','none',64.90
'None',1,0,'jazz',' Nothe word "jazz" is not in the list S4ODV78T5G.','none',77.90
'basin',1,0,'satin',' Nothe word "satin" is not in the list S4ODV78T5G.','ncrw',75.60
'kitten',1,0,'cat',' Nothe word "cat" is not in the given list.','ncaw',68.90
'recess',0,0,'recess',' Nothe word "recess" is not in the list S4ODV78T5G.','copy',77.30
'sneeze',0,0,'sneeze',' Nothe word "sneeze" is not in the list S4ODV78T5G.','copy',76.60
'None',1,0,'frost',' Nothe word "frost" is not in the list S4ODV78T5G.','none',47.30
'pet',1,0,'set',' Nothe word "set" is not in the given list.','ncrw',46.40
'control',0,0,'control',' Nothe word "control" is not in the list S4ODV78T5G.','copy',75.40
'list',1,0,'rank',' Nothe word "rank" is not in the list S4ODV78T5G.','ncaw',65.10
'chair',1,0,'stair',' Nothe word "stair" is not in the list S4ODV78T5G.','ncrw',67.50
'grape',1,0,'wine',' Nothe word "wine" is not in the given list.','ncaw',69.00
'free',0,0,'free',' Nothe word "free" is not in the list S4ODV78T5G.','copy',66.20
'side',1,0,'face',' Nothe word "face" is not in the list S4ODV78T5G.','ncaw',87.60
'hat',0,0,'hat',' Nothe word "hat" is not in the list S4ODV78T5G.','copy',47.90
'value',1,0,'rescue',' Nothe word "rescue" is not in the list S4ODV78T5G.','ncrw',48.20
'copper',1,0,'gold',' Nothe word "gold" is not in the list S4ODV78T5G.','ncaw',65.30
'None',1,0,'bloom',' Nothe word "bloom" is not in the list S4ODV78T5G.','none',66.60
'egg',1,0,'overeasy',' Nothe word "overeezy" is not in the list S4ODV78T5G.','ncaw',63.90
'vegetable',1,0,'tolerable',' Nothe word "tolerable" is not in the given list.','ncrw',63.10
'cake',1,0,'lake',' Nothe word "lake" is not in the given list S4ODV78T5G.','ncrw',65.50
'map',1,0,'lap',' Nothe word "lap" is not in the list S4ODV78T5G.','ncrw',70.80
