'tbrword','result','fp','cue','response','cue_type','duration'
'None',1,0,'cactus',' No"cactus" is not in the list S4ODV78T5G.','none',58.10
'monkey',1,1,'monkey',' Yes "monkey" is in the list S4ODV78T5G.','copy',65.80
'stop',1,0,'go',' No"go" is not in the list S4ODV78T5G.','ncaw',82.80
'volcano',1,0,'chicano',' No"chicano" is not in the list S4ODV78T5G.','ncrw',75.20
'vegetable',1,1,'vegetable',' Yes "vegetable" is in the list S4ODV78T5G.','copy',71.00
'mass',1,1,'mass',' Yes "mass" is in the list S4ODV78T5G.','copy',251.90
'cobweb',1,1,'cobweb',' Yes "cobweb" is in the list S4ODV78T5G.','copy',86.20
'move',1,0,'groove',' No"groove" is not in the list S4ODV78T5G.','ncrw',72.70
'None',1,0,'ocean',' No"ocean" is not in the list S4ODV78T5G.','none',57.90
'pain',1,0,'vein',' No"vein" is not in the list S4ODV78T5G.','ncrw',68.50
'basin',1,0,'river',' No"river" is not in the list S4ODV78T5G.','ncaw',73.10
'bead',1,0,'head',' No"head" is not in the list S4ODV78T5G.','ncrw',73.60
'library',1,0,'book',' No"book" is not in the list S4ODV78T5G.','ncaw',80.20
'kitten',1,1,'kitten',' Yes "kitten" is in the list S4ODV78T5G.','copy',175.20
'cushion',1,0,'soften',' No"soften" is not in the list S4ODV78T5G.','ncaw',63.80
'map',1,0,'lap',' No"lap" is not in the list S4ODV78T5G.','ncrw',90.70
'arm',1,0,'leg',' No"leg" is not in the list S4ODV78T5G.','ncaw',60.50
'None',1,0,'hedge',' No"hedge" is not in the list S4ODV78T5G.','none',62.60
'None',1,0,'penguin',' No"penguin" is not in the list S4ODV78T5G.','none',67.30
'walk',1,0,'run',' No"run" is not in the list S4ODV78T5G.','ncaw',74.10
'produce',1,0,'reduce',' No"reduce" is not in the list S4ODV78T5G.','ncrw',65.10
'egg',1,0,'overeasy',' No"overeasy" is not in the list S4ODV78T5G.','ncaw',70.60
'stitch',1,1,'stitch',' Yes "stitch" is in the list S4ODV78T5G.','copy',62.60
'net',1,0,'mesh',' No"mesh" is not in the list S4ODV78T5G.','ncaw',85.60
'None',1,0,'braid',' No"braid" is not in the list S4ODV78T5G.','none',45.70
'chair',1,0,'stair',' No"stair" is not in the list S4ODV78T5G.','ncrw',59.30
'None',1,0,'lighthouse',' No"lighthouse" is not in the list S4ODV78T5G.','none',61.50
'None',1,0,'ditch',' No"ditch" is not in the list S4ODV78T5G.','none',62.10
'grape',1,1,'grape',' Yes "grape" is in the list S4ODV78T5G.','copy',62.30
'ant',1,1,'ant',' Yes "ant" is in the list S4ODV78T5G.','copy',74.00
'hat',1,0,'fat',' No"fat" is not in the list S4ODV78T5G.','ncrw',61.50
'None',1,0,'jazz',' No"jazz" is not in the list S4ODV78T5G.','none',64.80
