'tbrword','result','fp','cue','response','cue_type','duration'
'basin',0,1,'bowl',' None of the words in the S4ODV78T5G list are directly related to "bowl".','ncaw',61.40
'small',1,1,'small',' The word "small" from the S4ODV78T5G list is related to the cue of being a size or dimension that is not large.','copy',57.40
'sneeze',0,1,'cold',' The word "sleet" from the S4ODV78T5G list is related to the given cue of "cold".','ncaw',66.00
'cart',1,1,'cart',' The word "cart" from the S4ODV78T5G list is related to the cue of a shopping trip.','copy',58.70
'day',0,0,'ray',' None','ncrw',60.60
'egg',1,1,'egg',' The word "sneeze" from the S4ODV78T5G list is related to the cue of "egg".','copy',69.70
'free',0,1,'three',' Three is not a word in the S4ODV78T5G list.','ncrw',70.80
'ant',0,0,'fly',' None','ncaw',61.70
'None',1,0,'penguin',' None','none',44.90
'value',1,1,'worth',' The word "value" from the S4ODV78T5G list is related to the cue of "worth."','ncaw',66.20
'ball',0,0,'mall',' None','ncrw',55.80
'None',1,1,'ocean',' None of the words in the S4ODV78T5G list are directly related to "ocean".','none',60.10
'kitten',0,1,'adorable',' None of the words in the S4ODV78T5G list are directly related to "adorable".','ncaw',70.60
'list',0,0,'catalog',' None','ncaw',57.70
'volcano',1,1,'eruption',' volcano','ncaw',62.40
'None',0,1,'frost',' The word "sleet" from the S4ODV78T5G list is related to the cue of "frost".','none',69.30
'None',1,0,'jazz',' None','none',53.80
'star',0,0,'star',' None','copy',54.10
'None',1,0,'daisy',' None','none',81.40
'None',1,0,'cactus',' None','none',81.10
'pet',0,1,'love',' The word "love" from the S4ODV78T5G list does not have a direct relation to it as there is no word that specifically means "love".','ncaw',62.50
'chair',0,0,'chair',' None','copy',58.50
'None',1,0,'ditch',' None','none',54.70
'move',0,1,'move',' chair','copy',56.50
'arm',0,0,'swarm',' None','ncrw',54.40
'sleet',1,1,'sleet',' The word "sleet" is not found in the list S4ODV78T5G.','copy',64.50
'cake',0,0,'lake',' None','ncrw',73.10
'hat',0,0,'fat',' None','ncrw',60.50
'locket',0,1,'rocket',' None of the words in the S4ODV78T5G list are directly related to "rocket".','ncrw',76.00
'card',1,1,'card',' The word "card" from the S4ODV78T5G list is related to the cue of a "card."','copy',67.50
'vegetable',0,0,'tolerable',' None','ncrw',60.00
'None',1,0,'braid',' None','none',59.70
