'tbrword','result','fp','cue','response','cue_type','duration'
'None',0,0,'cactus',' The word in the S4ODV78T5G list that is reminiscent of the given cue "cactus" is "cactus".','none',9.00
'monkey',1,0,'monkey',' The word in the S4ODV78T5G list that is reminiscent of the given cue "monkey" is "banana".','copy',60.60
'stop',0,0,'go',' The word in the S4ODV78T5G list that is reminiscent of the given cue "go" is "car".','ncaw',55.40
'volcano',0,0,'chicano',' The word in the S4ODV78T5G list that is reminiscent of the given cue "chicano" is "mexico".','ncrw',54.30
'vegetable',1,0,'vegetable',' The word in the S4ODV78T5G list that is reminiscent of the given cue "vegetable" is "carrot".','copy',59.80
'mass',1,0,'mass',' The word in the S4ODV78T5G list that is reminiscent of the given cue "mass" is "mammal".','copy',54.30
'cobweb',1,0,'cobweb',' The word in the S4ODV78T5G list that is reminiscent of the given cue "cobweb" is "spider".','copy',66.30
'move',0,0,'groove',' The word in the S4ODV78T5G list that is reminiscent of the given cue "groove" is "music".','ncrw',53.90
'None',0,0,'ocean',' The word in the S4ODV78T5G list that is reminiscent of the given cue "ocean" is "water".','none',8.20
'pain',0,0,'vein',' The word in the S4ODV78T5G list that is reminiscent of the given cue "vein" is "blood".','ncrw',49.80
'basin',0,0,'river',' The word in the S4ODV78T5G list that is reminiscent of the given cue "river" is "water".','ncaw',52.60
'bead',0,0,'head',' The word in the S4ODV78T5G list that is reminiscent of the given cue "head" is "brain".','ncrw',58.20
'library',0,0,'book',' The word in the S4ODV78T5G list that is reminiscent of the given cue "book" is "pages".','ncaw',141.20
'kitten',1,0,'kitten',' The word in the S4ODV78T5G list that is reminiscent of the given cue "kitten" is "cat".','copy',89.40
'cushion',0,0,'soften',' The word in the S4ODV78T5G list that is reminiscent of the given cue "soften" is "tender".','ncaw',68.30
'map',0,0,'lap',' The word in the S4ODV78T5G list that is reminiscent of the given cue "lap" is "cuddle".','ncrw',111.80
'arm',0,0,'leg',' The word in the S4ODV78T5G list that is reminiscent of the given cue "leg" is "knee".','ncaw',11.80
'None',0,0,'hedge',' The word in the S4ODV78T5G list that is reminiscent of the given cue "hedge" is "shrub".','none',54.50
'None',0,0,'penguin',' The word in the S4ODV78T5G list that is reminiscent of the given cue "penguin" is "bird".','none',52.80
'walk',0,0,'run',' The word in the S4ODV78T5G list that is reminiscent of the given cue "run" is "jog".','ncaw',139.40
'produce',0,0,'reduce',' The word in the S4ODV78T5G list that is reminiscent of the given cue "reduce" is "diminish".','ncrw',65.00
'egg',0,0,'overeasy',' The word in the S4ODV78T5G list that is reminiscent of the given cue "overeasy" is "simple".','ncaw',64.00
'stitch',1,0,'stitch',' The word in the S4ODV78T5G list that is reminiscent of the given cue "stitch" is "sew".','copy',63.80
'net',1,0,'mesh',' The word in the S4ODV78T5G list that is reminiscent of the given cue "mesh" is "net".','ncaw',113.60
'None',0,0,'braid',' The word in the S4ODV78T5G list that is reminiscent of the given cue "braid" is "hair".','none',9.30
'chair',0,0,'stair',' The word in the S4ODV78T5G list that is reminiscent of the given cue "stair" is "steps".','ncrw',56.30
'None',0,0,'lighthouse',' The word in the S4ODV78T5G list that is reminiscent of the given cue "lighthouse" is "beacon".','none',54.90
'None',0,0,'ditch',' The word in the S4ODV78T5G list that is reminiscent of the given cue "ditch" is "trench".','none',54.90
'grape',1,0,'grape',' The word in the S4ODV78T5G list that is reminiscent of the given cue "grape" is "wine".','copy',59.40
'ant',1,0,'ant',' The word in the S4ODV78T5G list that is reminiscent of the given cue "ant" is "bug".','copy',59.20
'hat',0,0,'fat',' The word in the S4ODV78T5G list that is reminiscent of the given cue "fat" is "obese".','ncrw',120.90
'None',0,0,'jazz',' The word in the S4ODV78T5G list that is reminiscent of the given cue "jazz" is "music".','none',54.40
