'tbrword','result','cue','response','cue_type','duration'
'toy',0,'play',' The word in the S4ODV78T5G list that is reminiscent of the given cue "play" is "game".','ncaw',9.30
'cake',0,'lake',' The word in the S4ODV78T5G list that is reminiscent of the given cue "lake" is "water".','ncrw',57.00
'stop',0,'stop',' The word in the S4ODV78T5G list that is reminiscent of the given cue "stop" is "halt".','copy',55.20
'volcano',0,'volcano',' The word in the S4ODV78T5G list that is reminiscent of the given cue "volcano" is "eruption".','copy',94.50
'cover',0,'cover',' The word in the S4ODV78T5G list that is reminiscent of the given cue "cover" is "shield".','copy',56.00
'None',0,'caterpillar',' The word in the S4ODV78T5G list that is reminiscent of the given cue "caterpillar" is "insect".','none',59.60
'None',0,'penguin',' The word in the S4ODV78T5G list that is reminiscent of the given cue "penguin" is "bird".','none',51.60
'produce',0,'reduce',' The word in the S4ODV78T5G list that is reminiscent of the given cue "reduce" is "lessen".','ncrw',50.80
'guitar',0,'guitar',' The word in the S4ODV78T5G list that is reminiscent of the given cue "guitar" is "string".','copy',9.30
'None',0,'braid',' The word in the S4ODV78T5G list that is reminiscent of the given cue "braid" is "twine".','none',53.20
'list',0,'list',' The word in the S4ODV78T5G list that is reminiscent of the given cue "list" is "rank".','copy',58.90
'None',0,'cactus',' The word in the S4ODV78T5G list that is reminiscent of the given cue "cactus" is "spine".','none',63.70
'grape',0,'wine',' The word in the S4ODV78T5G list that is reminiscent of the given cue "wine" is "bottle".','ncaw',60.20
'vegetable',0,'vegetable',' The word in the S4ODV78T5G list that is reminiscent of the given cue "vegetable" is "leaf".','copy',57.70
'pain',0,'grief',' The word in the S4ODV78T5G list that is reminiscent of the given cue "grief" is "tear".','ncaw',57.40
'copper',0,'proper',' The word in the S4ODV78T5G list that is reminiscent of the given cue "proper" is "etiquette".','ncrw',63.30
'None',0,'dove',' The word in the S4ODV78T5G list that is reminiscent of the given cue "dove" is "love".','none',13.90
'walk',0,'talk',' The word in the S4ODV78T5G list that is reminiscent of the given cue "talk" is "chat".','ncrw',51.60
'star',0,'star',' The word in the S4ODV78T5G list that is reminiscent of the given cue "star" is "light".','copy',57.40
'cart',0,'dart',' The word in the S4ODV78T5G list that is reminiscent of the given cue "dart" is "throw".','ncrw',55.70
'library',0,'arbitrary',' The word in the S4ODV78T5G list that is reminiscent of the given cue "arbitrary" is "random".','ncrw',52.50
'cushion',0,'fashion',' The word in the S4ODV78T5G list that is reminiscent of the given cue "fashion" is "style".','ncrw',52.40
'card',0,'score',' The word in the S4ODV78T5G list that is reminiscent of the given cue "score" is "points".','ncaw',60.90
'None',0,'ocean',' The word in the S4ODV78T5G list that is reminiscent of the given cue "ocean" is "water".','none',56.40
'hat',0,'lid',' The word in the S4ODV78T5G list that is reminiscent of the given cue "lid" is "cap".','ncaw',10.80
'None',0,'abrupt',' The word in the S4ODV78T5G list that is reminiscent of the given cue "abrupt" is "sharp".','none',50.60
'None',0,'daisy',' The word in the S4ODV78T5G list that is reminiscent of the given cue "daisy" is "flower".','none',57.20
'small',0,'small',' The word in the S4ODV78T5G list that is reminiscent of the given cue "small" is "tiny".','copy',54.10
'control',0,'ensure',' The word in the S4ODV78T5G list that is reminiscent of the given cue "ensure" is "guarantee".','ncaw',52.20
'day',0,'night',' The word in the S4ODV78T5G list that is reminiscent of the given cue "night" is "dark".','ncaw',59.70
'move',0,'groove',' The word in the S4ODV78T5G list that is reminiscent of the given cue "groove" is "channel".','ncrw',67.10
'value',1,'worth',' The word in the S4ODV78T5G list that is reminiscent of the given cue "worth" is "value".','ncaw',52.90
