'tbrword','result','fp','cue','response','cue_type','duration'
'control',1,1,'control',' Yes "control" is in the list S4ODV78T5G.','copy',61.60
'hat',1,0,'cap',' No"cap" is not in the list S4ODV78T5G.','ncaw',93.20
'grape',1,0,'wine',' No"wine" is not in the list S4ODV78T5G.','ncaw',65.90
'guitar',1,0,'avatar',' No"avatar" is not in the list S4ODV78T5G.','ncrw',65.10
'chair',1,1,'chair',' Yes "chair" is in the list S4ODV78T5G.','copy',69.10
'value',1,0,'worth',' No"worth" is not in the list S4ODV78T5G.','ncaw',67.00
'None',1,0,'daisy',' No"daisy" is not in the list S4ODV78T5G.','none',83.40
'None',1,0,'ocean',' No"ocean" is not in the list S4ODV78T5G.','none',66.40
'None',1,0,'dove',' No"dove" is not in the list S4ODV78T5G.','none',56.60
'library',1,0,'arbitrary',' No"arbitrary" is not in the list S4ODV78T5G.','ncrw',85.10
'None',1,0,'cactus',' No"cactus" is not in the list S4ODV78T5G.','none',65.40
'locket',1,0,'rocket',' No"rocket" is not in the list S4ODV78T5G.','ncrw',64.70
'mass',1,1,'mass',' Yes "mass" is in the list S4ODV78T5G.','copy',75.50
'pet',1,1,'pet',' Yes "pet" is in the list S4ODV78T5G.','copy',62.60
'map',1,0,'cartography',' No"cartography" is not in the list S4ODV78T5G.','ncaw',70.50
'cobweb',1,0,'web',' No"web" is not in the list S4ODV78T5G.','ncrw',65.20
'None',1,0,'frost',' No"frost" is not in the list S4ODV78T5G.','none',54.40
'stitch',1,1,'stitch',' Yes "stitch" is in the list S4ODV78T5G.','copy',70.20
'faucet',1,1,'faucet',' Yes "faucet" is in the list S4ODV78T5G.','copy',64.00
'None',1,0,'ditch',' No"ditch" is not in the list S4ODV78T5G.','none',67.20
'hen',1,0,'chicken',' No"chicken" is not in the list S4ODV78T5G.','ncaw',59.90
'curtain',1,0,'drape',' No"drape" is not in the list S4ODV78T5G.','ncaw',65.90
'sneeze',1,0,'cold',' No"cold" is not in the list S4ODV78T5G.','ncaw',82.70
'monkey',1,0,'ape',' No"ape" is not in the list S4ODV78T5G.','ncaw',73.50
'stop',1,0,'mop',' No"mop" is not in the list S4ODV78T5G.','ncrw',46.60
'walk',1,0,'talk',' No"talk" is not in the list S4ODV78T5G.','ncrw',65.00
'None',1,0,'jazz',' No"jazz" is not in the list S4ODV78T5G.','none',77.40
'bead',1,1,'bead',' Yes "bead" is in the list S4ODV78T5G.','copy',64.50
'cart',1,1,'cart',' Yes "cart" is in the list S4ODV78T5G.','copy',66.20
'None',1,0,'braid',' No"braid" is not in the list S4ODV78T5G.','none',66.30
'egg',1,0,'peg',' No"peg" is not in the list S4ODV78T5G.','ncrw',66.30
'ant',1,0,'coolant',' No"coolant" is not in the list S4ODV78T5G.','ncrw',65.80
