'tbrword','result','fp','cue','response','cue_type','duration'
'basin',0,0,'bowl',' The word in the S4ODV78T5G list that is reminiscent of the given cue "bowl" is "dish".','ncaw',9.20
'small',1,0,'small',' The word in the S4ODV78T5G list that is reminiscent of the given cue "small" is "tiny".','copy',59.90
'sneeze',0,0,'cold',' The word in the S4ODV78T5G list that is reminiscent of the given cue "cold" is "freezing".','ncaw',51.90
'cart',1,0,'cart',' The word in the S4ODV78T5G list that is reminiscent of the given cue "cart" is "trolley".','copy',54.50
'day',0,0,'ray',' The word in the S4ODV78T5G list that is reminiscent of the given cue "ray" is "beam".','ncrw',59.70
'egg',1,0,'egg',' The word in the S4ODV78T5G list that is reminiscent of the given cue "egg" is "shell".','copy',56.70
'free',0,0,'three',' The word in the S4ODV78T5G list that is reminiscent of the given cue "three" is "triple".','ncrw',54.70
'ant',0,0,'fly',' The word in the S4ODV78T5G list that is reminiscent of the given cue "fly" is "wing".','ncaw',47.50
'None',0,0,'penguin',' The word in the S4ODV78T5G list that is reminiscent of the given cue "penguin" is "pen".','none',10.60
'value',1,1,'worth',' The word in the S4ODV78T5G list that is reminiscent of the given cue "worth" is "value".','ncaw',56.80
'ball',0,0,'mall',' The word in the S4ODV78T5G list that is reminiscent of the given cue "mall" is "shop".','ncrw',52.90
'None',0,0,'ocean',' The word in the S4ODV78T5G list that is reminiscent of the given cue "ocean" is "sea".','none',50.50
'kitten',0,0,'adorable',' The word in the S4ODV78T5G list that is reminiscent of the given cue "adorable" is "cute".','ncaw',51.10
'list',1,1,'catalog',' The word in the S4ODV78T5G list that is reminiscent of the given cue "catalog" is "list".','ncaw',56.00
'volcano',1,1,'eruption',' The word in the S4ODV78T5G list that is reminiscent of the given cue "eruption" is "volcano".','ncaw',62.90
'None',0,0,'frost',' The word in the S4ODV78T5G list that is reminiscent of the given cue "frost" is "freeze".','none',54.10
'None',0,0,'jazz',' The word in the S4ODV78T5G list that is reminiscent of the given cue "jazz" is "jazzy".','none',8.70
'star',1,0,'star',' The word in the S4ODV78T5G list that is reminiscent of the given cue "star" is "stars".','copy',51.00
'None',0,0,'daisy',' The word in the S4ODV78T5G list that is reminiscent of the given cue "daisy" is "flower".','none',56.90
'None',0,0,'cactus',' The word in the S4ODV78T5G list that is reminiscent of the given cue "cactus" is "plant".','none',57.20
'pet',0,0,'love',' The word in the S4ODV78T5G list that is reminiscent of the given cue "love" is "heart".','ncaw',62.40
'chair',1,0,'chair',' The word in the S4ODV78T5G list that is reminiscent of the given cue "chair" is "seat".','copy',55.00
'None',0,0,'ditch',' The word in the S4ODV78T5G list that is reminiscent of the given cue "ditch" is "hole".','none',56.50
'move',1,0,'move',' The word in the S4ODV78T5G list that is reminiscent of the given cue "move" is "action".','copy',50.00
'arm',1,1,'swarm',' The word in the S4ODV78T5G list that is reminiscent of the given cue "swarm" is "arm".','ncrw',9.10
'sleet',1,0,'sleet',' The word in the S4ODV78T5G list that is reminiscent of the given cue "sleet" is "sheet".','copy',50.30
'cake',1,0,'lake',' The word in the S4ODV78T5G list that is reminiscent of the given cue "lake" is "cake".','ncrw',52.80
'hat',0,0,'fat',' The word in the S4ODV78T5G list that is reminiscent of the given cue "fat" is "bat".','ncrw',55.60
'locket',0,0,'rocket',' The word in the S4ODV78T5G list that is reminiscent of the given cue "rocket" is "net".','ncrw',52.00
'card',1,0,'card',' The word in the S4ODV78T5G list that is reminiscent of the given cue "card" is "tar".','copy',59.90
'vegetable',0,0,'tolerable',' The word in the S4ODV78T5G list that is reminiscent of the given cue "tolerable" is "table".','ncrw',61.20
'None',0,0,'braid',' The word in the S4ODV78T5G list that is reminiscent of the given cue "braid" is "tide".','none',51.90
