'tbrword','result','fp','cue','response','cue_type','duration'
'pet',1,0,'set',' No"set" is not in the list S4ODV78T5G.','ncrw',48.00
'walk',1,1,'walk',' Yes "walk" is in the list S4ODV78T5G.','copy',73.80
'arm',1,1,'arm',' Yes "arm" is in the list S4ODV78T5G.','copy',72.10
'monkey',1,0,'ape',' No"ape" is not in the list S4ODV78T5G.','ncaw',76.30
'cart',1,0,'dart',' No"dart" is not in the list S4ODV78T5G.','ncrw',69.70
'sneeze',1,1,'sneeze',' Yes "sneeze" is in the list S4ODV78T5G.','copy',76.60
'None',1,0,'ocean',' No"ocean" is not in the list S4ODV78T5G.','none',75.20
'volcano',1,1,'volcano',' Yes "volcano" is in the list S4ODV78T5G.','copy',76.10
'guitar',1,0,'banjo',' No"banjo" is not in the list S4ODV78T5G.','ncaw',60.40
'hat',1,1,'hat',' Yes "hat" is in the list S4ODV78T5G.','copy',59.10
'sleet',1,0,'icy',' No"icy" is not in the list S4ODV78T5G.','ncaw',70.40
'None',1,0,'bloom',' No"bloom" is not in the list S4ODV78T5G.','none',72.20
'None',1,0,'caterpillar',' No"caterpillar" is not in the list S4ODV78T5G.','none',77.70
'map',1,0,'lap',' No"lap" is not in the list S4ODV78T5G.','ncrw',93.00
'library',1,0,'arbitrary',' No"arbitrary" is not in the list S4ODV78T5G.','ncrw',74.00
'grape',1,1,'grape',' Yes "grape" is in the list S4ODV78T5G.','copy',78.70
'hen',1,0,'chicken',' No"chicken" is not in the list S4ODV78T5G.','ncaw',50.70
'net',1,1,'net',' Yes "net" is in the list S4ODV78T5G.','copy',71.60
'control',1,0,'power',' No"power" is not in the list S4ODV78T5G.','ncaw',73.50
'side',1,0,'flank',' No"flank" is not in the list S4ODV78T5G.','ncaw',82.70
'small',1,0,'shawl',' No"shawl" is not in the list S4ODV78T5G.','ncrw',73.70
'None',1,0,'frost',' No"frost" is not in the list S4ODV78T5G.','none',73.50
'cover',1,0,'clover',' No"clover" is not in the list S4ODV78T5G.','ncrw',72.80
'None',1,0,'lighthouse',' No"lighthouse" is not in the list S4ODV78T5G.','none',76.40
'None',1,0,'ditch',' No"ditch" is not in the list S4ODV78T5G.','none',47.50
'None',1,0,'braid',' No"braid" is not in the list S4ODV78T5G.','none',76.10
'cobweb',1,0,'web',' No"web" is not in the list S4ODV78T5G.','ncrw',70.10
'None',1,0,'dove',' No"dove" is not in the list S4ODV78T5G.','none',70.20
'curtain',1,0,'stain',' No"stain" is not in the list S4ODV78T5G.','ncrw',64.10
'kitten',1,0,'adorable',' No"adorable" is not in the list S4ODV78T5G.','ncaw',73.20
'faucet',1,1,'faucet',' Yes "faucet" is in the list S4ODV78T5G.','copy',68.60
'value',1,0,'worth',' No"worth" is not in the list S4ODV78T5G.','ncaw',61.80
