'tbrword','result','fp','cue','response','cue_type','duration'
'egg',1,0,'ovum',' The word in the S4ODV78T5G list that is reminiscent of the given cue "ovum" is "egg".','ncaw',9.00
'guitar',0,0,'guitar',' The word in the S4ODV78T5G list that is reminiscent of the given cue "guitar" is "string".','copy',55.50
'star',0,0,'star',' The word in the S4ODV78T5G list that is reminiscent of the given cue "star" is "light".','copy',54.90
'sneeze',0,0,'sneeze',' The word in the S4ODV78T5G list that is reminiscent of the given cue "sneeze" is "nose".','copy',53.90
'stop',1,0,'halt',' The word in the S4ODV78T5G list that is reminiscent of the given cue "halt" is "stop".','ncaw',59.90
'hat',0,0,'fat',' The word in the S4ODV78T5G list that is reminiscent of the given cue "fat" is "body".','ncrw',59.00
'pain',1,0,'agony',' The word in the S4ODV78T5G list that is reminiscent of the given cue "agony" is "pain".','ncaw',52.70
'bead',0,0,'head',' The word in the S4ODV78T5G list that is reminiscent of the given cue "head" is "brain".','ncrw',54.20
'stitch',0,0,'stitch',' The word in the S4ODV78T5G list that is reminiscent of the given cue "stitch" is "needle".','copy',9.20
'None',0,0,'frost',' The word in the S4ODV78T5G list that is reminiscent of the given cue "frost" is "icy".','none',57.00
'None',0,0,'daisy',' The word in the S4ODV78T5G list that is reminiscent of the given cue "daisy" is "flower".','none',58.70
'None',0,0,'jazz',' The word in the S4ODV78T5G list that is reminiscent of the given cue "jazz" is "music".','none',54.40
'net',0,0,'web',' The word in the S4ODV78T5G list that is reminiscent of the given cue "web" is "internet".','ncaw',52.50
'produce',0,0,'reduce',' The word in the S4ODV78T5G list that is reminiscent of the given cue "reduce" is "energy".','ncrw',52.40
'small',0,0,'shawl',' The word in the S4ODV78T5G list that is reminiscent of the given cue "shawl" is "scarf".','ncrw',54.70
'None',0,0,'hedge',' The word in the S4ODV78T5G list that is reminiscent of the given cue "hedge" is "fence".','none',47.00
'side',0,0,'ride',' The word in the S4ODV78T5G list that is reminiscent of the given cue "ride" is "horse".','ncrw',10.10
'monkey',0,0,'monkey',' The word in the S4ODV78T5G list that is reminiscent of the given cue "monkey" is "ape".','copy',50.10
'value',1,0,'worth',' The word in the S4ODV78T5G list that is reminiscent of the given cue "worth" is "value".','ncaw',58.60
'None',0,0,'giraffe',' The word in the S4ODV78T5G list that is reminiscent of the given cue "giraffe" is "neck".','none',55.30
'cushion',0,0,'fashion',' The word in the S4ODV78T5G list that is reminiscent of the given cue "fashion" is "style".','ncrw',61.90
'cake',0,0,'cake',' The word in the S4ODV78T5G list that is reminiscent of the given cue "cake" is "dessert".','copy',184.00
'map',0,0,'lap',' The word in the S4ODV78T5G list that is reminiscent of the given cue "lap" is "knee".','ncrw',63.80
'pet',0,0,'love',' The word in the S4ODV78T5G list that is reminiscent of the given cue "love" is "heart".','ncaw',56.80
'cobweb',0,0,'spider',' The word in the S4ODV78T5G list that is reminiscent of the given cue "spider" is "weaver".','ncaw',8.80
'day',0,0,'day',' The word in the S4ODV78T5G list that is reminiscent of the given cue "day" is "sun".','copy',62.90
'None',0,0,'lighthouse',' The word in the S4ODV78T5G list that is reminiscent of the given cue "lighthouse" is "beacon".','none',61.00
'arm',0,0,'leg',' The word in the S4ODV78T5G list that is reminiscent of the given cue "leg" is "support".','ncaw',55.30
'locket',0,0,'rocket',' The word in the S4ODV78T5G list that is reminiscent of the given cue "rocket" is "launch".','ncrw',55.90
'None',0,0,'cactus',' The word in the S4ODV78T5G list that is reminiscent of the given cue "cactus" is "plant".','none',60.60
'None',0,0,'mango',' The word in the S4ODV78T5G list that is reminiscent of the given cue "mango" is "fruit".','none',56.30
'move',0,0,'move',' The word in the S4ODV78T5G list that is reminiscent of the given cue "move" is "action".','copy',59.90
