'tbrword','result','fp','cue','response','cue_type','duration'
'recess',0,0,'retreat',' The word in the S4ODV78T5G list that is reminiscent of the given cue "retreat" is "withdraw".','ncaw',8.80
'cake',1,0,'cake',' The word in the S4ODV78T5G list that is reminiscent of the given cue "cake" is "dessert".','copy',58.50
'faucet',1,0,'faucet',' The word in the S4ODV78T5G list that is reminiscent of the given cue "faucet" is "tap".','copy',63.80
'day',1,0,'day',' The word in the S4ODV78T5G list that is reminiscent of the given cue "day" is "sunrise".','copy',69.70
'None',0,0,'ditch',' The word in the S4ODV78T5G list that is reminiscent of the given cue "ditch" is "trench".','none',52.80
'arm',1,0,'arm',' The word in the S4ODV78T5G list that is reminiscent of the given cue "arm" is "limb".','copy',61.50
'move',0,0,'action',' The word in the S4ODV78T5G list that is reminiscent of the given cue "action" is "motion".','ncaw',67.50
'guitar',1,0,'guitar',' The word in the S4ODV78T5G list that is reminiscent of the given cue "guitar" is "music".','copy',55.00
'stop',0,0,'mop',' The word in the S4ODV78T5G list that is reminiscent of the given cue "mop" is "broom".','ncrw',9.10
'value',1,0,'value',' The word in the S4ODV78T5G list that is reminiscent of the given cue "value" is "worth".','copy',59.50
'None',0,0,'cactus',' The word in the S4ODV78T5G list that is reminiscent of the given cue "cactus" is "plant".','none',58.00
'None',0,0,'frost',' The word in the S4ODV78T5G list that is reminiscent of the given cue "frost" is "cold".','none',50.80
'copper',0,0,'proper',' The word in the S4ODV78T5G list that is reminiscent of the given cue "proper" is "correct".','ncrw',51.20
'hat',1,0,'hat',' The word in the S4ODV78T5G list that is reminiscent of the given cue "hat" is "headwear".','copy',55.40
'toy',1,1,'plaything',' The word in the S4ODV78T5G list that is reminiscent of the given cue "plaything" is "toy".','ncaw',61.40
'None',0,0,'daisy',' The word in the S4ODV78T5G list that is reminiscent of the given cue "daisy" is "flower".','none',52.40
'cart',0,0,'dart',' The word in the S4ODV78T5G list that is reminiscent of the given cue "dart" is "arrow".','ncrw',9.50
'walk',1,1,'stroll',' The word in the S4ODV78T5G list that is reminiscent of the given cue "stroll" is "walk".','ncaw',56.70
'ball',1,1,'sphere',' The word in the S4ODV78T5G list that is reminiscent of the given cue "sphere" is "ball".','ncaw',59.30
'None',0,0,'hedge',' The word in the S4ODV78T5G list that is reminiscent of the given cue "hedge" is "fence".','none',56.70
'pet',0,0,'love',' The word in the S4ODV78T5G list that is reminiscent of the given cue "love" is "heart".','ncaw',72.20
'net',0,0,'debt',' The word in the S4ODV78T5G list that is reminiscent of the given cue "debt" is "money".','ncrw',59.40
'sleet',0,0,'icy',' The word in the S4ODV78T5G list that is reminiscent of the given cue "icy" is "cold".','ncaw',59.90
'locket',0,0,'pendant',' The word in the S4ODV78T5G list that is reminiscent of the given cue "pendant" is "necklace".','ncaw',63.10
'pain',0,0,'vein',' The word in the S4ODV78T5G list that is reminiscent of the given cue "vein" is "veneer".','ncrw',10.10
'None',0,0,'abrupt',' The word in the S4ODV78T5G list that is reminiscent of the given cue "abrupt" is "sharp".','none',63.70
'grape',1,0,'grape',' The word in the S4ODV78T5G list that is reminiscent of the given cue "grape" is "vine".','copy',53.80
'None',0,0,'dove',' The word in the S4ODV78T5G list that is reminiscent of the given cue "dove" is "pigeon".','none',59.50
'None',0,0,'penguin',' The word in the S4ODV78T5G list that is reminiscent of the given cue "penguin" is "polar".','none',64.70
'control',0,0,'enroll',' The word in the S4ODV78T5G list that is reminiscent of the given cue "enroll" is "sign".','ncrw',55.80
'bead',0,0,'head',' The word in the S4ODV78T5G list that is reminiscent of the given cue "head" is "cap".','ncrw',64.30
'curtain',0,0,'stain',' The word in the S4ODV78T5G list that is reminiscent of the given cue "stain" is "mark".','ncrw',51.60
