'tbrword','result','fp','cue','response','cue_type','duration'
'free',0,0,'-',' The first word of the memorized list in Step 1 is "apple."','ordn',10.30
'sleet',0,0,'-',' The second word of the memorized list in Step 1 is "banana."','ordn',64.20
'small',0,0,'-',' The third word of the memorized list in Step 1 is "cherry."','ordn',59.50
'produce',0,0,'-',' The fourth word of the memorized list in Step 1 is "date."','ordn',59.50
'grape',0,0,'-',' The fifth word of the memorized list in Step 1 is "elderberry."','ordn',65.50
'cobweb',0,0,'-',' The sixth word of the memorized list in Step 1 is "fig."','ordn',60.10
'library',0,0,'-',' The seventh word of the memorized list in Step 1 is "grape."','ordn',63.80
'chair',0,0,'-',' The eighth word of the memorized list in Step 1 is "honeydew melon."','ordn',56.70
'walk',0,0,'-',' The ninth word of the memorized list in Step 1 is "ice cream."','ordn',55.40
'cart',0,0,'-',' The tenth word of the memorized list in Step 1 is "kiwi."','ordn',53.50
'stitch',0,0,'-',' The eleventh word of the memorized list in Step 1 is "lemon."','ordn',56.70
'side',0,0,'-',' The twelfth word of the memorized list in Step 1 is "mango."','ordn',51.60
'locket',0,0,'-',' The thirteenth word of the memorized list in Step 1 is "nuts."','ordn',61.00
'move',0,0,'-',' The fourteenth word of the memorized list in Step 1 is "orange."','ordn',54.80
'egg',0,0,'-',' The fifteenth word of the memorized list in Step 1 is "pear."','ordn',53.20
'sneeze',0,0,'-',' The sixteenth word of the memorized list in Step 1 is "quince."','ordn',74.90
'faucet',0,0,'-',' The seventeenth word of the memorized list in Step 1 is "raspberry."','ordn',51.80
'volcano',0,0,'-',' The eighteenth word of the memorized list in Step 1 is "strawberry."','ordn',63.80
'toy',0,0,'-',' The nineteenth word of the memorized list in Step 1 is "tangerine."','ordn',56.40
'mass',0,0,'-',' The twentieth word of the memorized list in Step 1 is "umbrella."','ordn',52.20
